product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
Best Buy,Best Buy-Import,903647,IMPERIAL LUNCH BOX-IMP,BBUY,"1,995",903647
Best Buy,General Household L,902510,Mug Melamine With Lid,BBUY,125,902510
Best Buy,General Household L,902511,Souch Bati-Melamine,BBUY,40,902511
Best Buy,General Household L,902512,Bowl Deign-Melamine,BBUY,125,902512
Best Buy,Stationary,902513,Pen Stand PP Exclusive,BBUY,125,902513
Best Buy,Kitchenware (Local),902514,Spoon SS Big Exclusive,BBUY,185,902514
Best Buy,Kitchenware (Local),902515,Peeler SS Thailand,BBUY,55,902515
Best Buy,Kitchenware (Local),902516,Spoon Fork Non Stick,BBUY,80,902516
Best Buy,Kitchenware (Local),902517,Egg Beater Non Stick,BBUY,80,902517
Best Buy,Kitchenware (Local),902518,Strainer SS Heavy Big,BBUY,240,902518
Best Buy,Kitchenware (Local),902519,Strainer SS Heavy Medium,BBUY,230,902519
Best Buy,Kitchenware (Local),902520,Strainer SS Heavy Small,BBUY,215,902520
Best Buy,Kitchenware (Local),902521,Kunti SS Medium,BBUY,35,902521
Best Buy,Mobile Recharg,902522,MERMAID-IMP,BBUY,100,902522
Best Buy,Home Decore (Local),902642,Freeze Sticker Medium,BBUY,100,902642
Best Buy,Home Decore (Local),902644,Freeze Sticker  Small,BBUY,65,902644
Best Buy,Home Decore (Local),902639,Showpiece Sura Small,BBUY,55,902639
Best Buy,Home Decore (Local),902638,Showpiece Sura,BBUY,100,902638
Best Buy,Kitchenware (Import),903203,BATI 9 INCH STEEL (IMP),BBUY,175,903203
Best Buy,Kitchenware (Import),903204,TWO TONE BOWL 4.5INCH STEEL (IMP),BBUY,65,903204
Best Buy,Kitchenware (Import),903205,TWO TONE BOWL 5INCH STEEL (IMP),BBUY,90,903205
Best Buy,Kitchenware (Import),903206,TWO TONE BOWL 5.5INCH STEEL (IMP),BBUY,100,903206
Best Buy,Kitchenware (Import),903207,TWO TONE BOWL 6INCH STEEL (IMP),BBUY,115,903207
Best Buy,Kitchenware (Import),903208,BOWL WITH COVER 8INCH STEEL (IMP),BBUY,195,903208
Best Buy,Kitchenware (Local),902628,Knife with Cover Small,BBUY,45,902628
Best Buy,Toys and sports (Impor,903414,LED LAMP-W5AA171-IMP,BBUY,395,903414
Best Buy,Toys and sports (Impor,903415,LED LAMP-W5AA167-IMP,BBUY,395,903415
Decent,Decent- Saddle,70144,Saddle Bumper Front Side-1501,BCYCL,2,70144
Decent,Decent- Saddle,70145,Saddle  Bumper Front Side-2001,BCYCL,3,70145
Decent,Decent- Saddle,70146,Saddle Bumper Front Side-2502,BCYCL,3,70146
Decent,Decent- Saddle,70147,Saddle Bumper Rear Side-1202,BCYCL,6,70147
Decent,Decent- Saddle,70148,Saddle Bumper  Rear Side-1501,BCYCL,4,70148
Prestige,Pure Cont-Prestige,914039,Pure Rtg Container 5000 ML,DPL,250,845944092946
Vision-RAC,PG VSN Refrigeration,802997,PG Vision refrigerator Vis - 196 Ltr SS,DPLE,"27,200",802997
Sticky,Sticky Rubber Adhesive,820057,Dragon Rubber Adhesive  3ltr,BBMLT,545,820057
Sigma,Comfy Mattress,820059,Heavy Cotton Katha (Jamalpur),BBMLT,"10,611",820059
Decora,Hinges.,802676,End Post,BBML,950,802676
Decora,Hinges.,802677,One side open alluminium End Post,BBML,"3,000",802677
Power,Tray,920845,"12.6"" Rtg Handle Tray -Good Morning",MLMN,265,845944069078
Power,Clearance Sales-2,92287,"7"" Curry Bowl -Lilac",MLMN,180,845944067548
Power,Melamine -Topper,920814,"6"" Curry Bowl -Dahlia-Topper",MLMN,115,845944068729
VIGO-RAC,VG Washing Machine,824413,Vigo Automatic Washing Machine 6kg,PIP(E),"17,500",824413
