product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
Turbine,Gas Stove-Imported,805207,Premier Single Auto GS LPG (A-105),RFL,"1,400",8052070000000
Best Buy,Toys and sports (Local,903822,Bicycle Helmet,BBUY,655,903822
Best Buy,Toys and sports (Local,903824,Bicycle Pumper,BBUY,255,903824
Best Buy,Toys and sports (Local,903825,Bicycle Mask support,BBUY,65,903825
TEL Household,Hanger-HH-TEL,99021,Shirt Hanger-42cm Black -TEL,TEL,12,99021
Power,Clearance Sales-2,920923,"Vacuam Container 6.75"" -Zinnia",MLMN,200,845944073440
Power,Clearance Sales-2,920924,"Vacuam Container 6.75"" -Iris",MLMN,200,845944073457
Power,Clearance Sales-2,920925,"Vacuam Container 6.75"" -Holly",MLMN,200,845944073464
Power,Clearance Sales-2,920926,"Vacuam Container 7.75"" -Zinnia",MLMN,235,845944073471
Topper,TPR NS Regular,805127,Topper Fry Pan - 22 cm - Eco Super,RFL,405,8051270000001
Topper,TPR Pressure Cooker,80195,Apple Pressure Cooker Body 3L,RFL,775,80195
Topper,Bright SS Casserole,805106,TITAN - 700 ML,RFL,50,805106
Terrific,Lube Oil Prime( Tr),820024,DANA Motorcycle Oil 4T SAE 10W30    1 ltr,BBMLT,410,820024
Topper,Bright SS Casserole,805107,TITAN - 1000 ML,RFL,65,805107
Topper,Bright SS Casserole,805108,TITAN - 1500 ML,RFL,85,805108
Topper,Bright SS Casserole,805109,TITAN - 2000 ML,RFL,100,805109
Goodluck,PENCIL,97936,Good Luck Oil Pastels Pencil - 18 Pcs,DPLS,170,845944060419
Pride,Trading-Pride,82426,Acrylic Jug 00HY111 (Trading),DPL,650,82426
Pride,Trading-Pride,82427,Acrylic Jug 00MD112 (Trading),DPL,680,82427
Pride,Trading-Pride,82428,Acrylic Jug 00DT111 (Trading),DPL,585,82428
Vision-RAC,VSN Water Purifier,82569,RO Water Purifier (Hyundai),DPLE,"13,000",82569
Power,Spoon,920892,"9.5"" Spoon (WO Hole) -Camellia",MLMN,40,845944069580
Best Buy,Cosmetics,902851,DAVID BECKHAM DEO SPRAY (150ML) MEN,BBUY,350,902851
Power,Color - Melamine,920754,Smart Glass -Camellia,MLMN,75,845944068125
Topper,Bright Eco. Utensils,805194,Economy Bright Rice Disco Bowl - 9 (BS),RFL,150,8051940000003
Topper,Bright Eco. Utensils,805195,Economy Bright Rice Disco Bowl - 11 (BS),RFL,235,8051950000000
Best Buy,Kitchenware (Local),903586,Saucepan 22 cm Max,BBUY,400,903586
Best Buy,Kitchenware (Local),903584,Saucepan 18 cm Max,BBUY,300,903584
Power,Spoon,920862,"11.5"" Spoon (WO Hole) -Camellia",MLMN,55,845944069283
Power,Melamine -Topper,920881,"8"" Coup Spoon-Dahlia-Topper",MLMN,45,845944069474
Power,Clearance Sales-2,920888,"9.5"" Fry Spoon -Lily",MLMN,50,845944069542
Power,Spoon,920874,Design Rice Spoon -Camellia,MLMN,65,845944069405
Power,Clearance Sales-2,920896,Three Section Shell Tray,MLMN,320,845944069788
Power,Spoon,920872,Soup Spoon 6 Pcs Set -Dahlia,MLMN,115,845944069382
Vision-Style,PG VS Rice Cooker,801984,PG Vision Rice Cooker 1.8 Ltr VSNRC40-0,PIP(E),"2,780",801984
Vision-Style,PG VS Rice Cooker,801985,PG Vision Rice Cooker 2.2Ltr Open Type,PIP(E),"2,800",801985
Prestige,Wastage Basket-Prestige,913212,Paper Basket - Pink,DPL,120,913212
Premium,MP Basket-Premium,910973,Multi Purpose Basket 28CM - Assorted,DPL,60,845944093738
Power,Bowl,920715,"7.5"" Classic Bowl With Lid-Oliva",MLMN,255,845944067586
Power,Melamine -Advance,920757,"7"" Soup Plate -Camellia",MLMN,85,845944068156
Popular,Dish Cover -Popular,910975,Delight Dish Cover 38 CM - Assorted,DPL,70,845944043771
Power,Melamine -Advance,920762,"10"" Meat Plate -Camellia",MLMN,115,845944068200
Power,Melamine -Advance,920763,"10"" Soup Plate -Camellia",MLMN,115,845944068217
Vision-RAC,PG VSN Chest Freezer,802933,PG Vision Chest Freezer VIS-170DS Blue,DPLE,"22,200",802933
Vision-RAC,PG VSN Refrigeration,802923,PG Vision side by side Refrigerator SHR - 556 Ltr,DPLE,"80,000",802923
Regal,WOODEN BED,811244,BDH-307-3-1-20,BBML(F),"30,000",811244
Best Buy,Kitchenware (Yiwu),903655,FRY PAN-18CM-9.00-IMP,BBUY,240,903655
Best Buy,Kitchenware (Yiwu),903656,FRY PAN-24CM-23.00-IMP,BBUY,550,903656
Popular,Hanger-Popular,76748,Paris Hanger 6 Pcs Set -Red,DPL,150,845944044488
Prominent,Hanger-Prominent,76747,Cooper Hanger 6 Pcs Set -Red,DPL,150,845944044495
Best Buy,General Household L,902806,Chopping Board Bamboo,BBUY,320,902806
Techno,Valve,801064,"Brass Ball Valve S-0.75""",RMIL,370,801064
Techno,Valve,801065,"Brass Ball Valve S-1""",RMIL,585,801065
Techno,Valve,801066,"Brass Ball Valve S-1.25""",RMIL,990,801066
Techno,Valve,801067,"Brass Ball Valve S-1.5""",RMIL,"1,250",801067
Techno,Non moving techno,801068,"Brass Ball Valve S-2""",RMIL,"2,000",801068
Techno,Valve,808700,"Brass Gate Valve 0.5""",RMIL,250,808700
Techno,Valve,808701,"Brass Gate Valve 0.75""",RMIL,465,808701
Techno,Valve,808702,"Brass Gate Valve 1""",RMIL,675,808702
Best Buy,Water Bottle (Import,901212,WATER BOTTLE 9292 800ML-IMP,BBUY,175,901212
Best Buy,Water Bottle (Import,901213,WATER BOTTLE 9905A 400ML-IMP,BBUY,150,901213
Best Buy,Water Bottle (Import,901214,WATER BOTTLE 9502 800ML-IMP,BBUY,200,901214
Best Buy,Water Bottle (Import,901215,WATER BOTTLE 9503 1000ML-IMP,BBUY,175,901215
Best Buy,Water Bottle (Import,901216,WATER BOTTLE 9964 500ML-IMP,BBUY,200,901216
Best Buy,Kitchenware (Local),902523,Spoon Dabu SS Heavy,BBUY,185,902523
Duranta,Complete Cycle-26',85484,Duranta Alloy 21-Spd Allan Primo 26 Red W/M,BCYCL,"13,705",85484
Duranta,Complete Cycle-26',85490,Duranta Steel 1-Spd Knight 26 Red,BCYCL,"9,735",85490
Pacific,PET Bottle-Pacific,95255,Rio Water Bottle 1000 ML-Assorted,DPL,90,845944045225
Pride,PET Jar-Pride,95261,Thai Jar 2.5L,DPL,100,845944045287
Pacific,PET Jar-Pacific,95262,Super Jar 2.5L,DPL,100,845944045294
Pride,PET Jar-Pride,95264,Grip Jar 2L - Trans Blue,DPL,90,95264
Prestige,PET Jar-Prestige,95265,Una Jar 2L - Trans Blue,DPL,90,95265
Pacific,PET Jar-Pacific,95266,Thai Jar 2L - Trans Blue,DPL,90,845944045331
Pacific,PET Jar-Pacific,95267,Super Jar 2L - Trans Blue,DPL,90,845944045348
Spark,Door Mat-RPL,78980,Support Floor Mat Wel-Come(40X60 CM)-12 mm Red,RPL,268,78980
TEL Furniture,Design Mug -Fur-TEL,803102,Design Mug Blue 1.5L -TEL,TEL,35,803102
TEL Furniture,Design Mug -Fur-TEL,803103,Design Mug Black 1.5L -TEL,TEL,25,803103
TEL Household,Mug-HH-TEL,93040,Design Mug Blue 500ml -TEL,TEL,20,93040
TEL Household,Mug-HH-TEL,93041,Design Mug Red 500ml -TEL,TEL,20,93041
Power,Clearance Sales-2,920781,"7"" Soup Plate -Lily",MLMN,85,845944068392
Power,Tray,920844,"12.6"" Rtg Handle Tray -Coffee Splash",MLMN,265,845944069061
Topper,Bright SS Casserole,805110,TITAN - 2500 ML,RFL,110,805110
Topper,Bright SS Casserole,805101,GALAXY - 700 ML,RFL,55,805101
Topper,Bright SS Casserole,805102,GALAXY - 1000 ML,RFL,75,805102
Topper,Bright SS Casserole,83463,SS TIFFIN BATI SMALL,RFL,25,83463
Topper,TPR Pressure Cooker,80978,Pressure Cooker Body 6L,RFL,"1,255",80978
Goodluck,FILE,97929,Good Luck My Bag (FC) - Purple,DPLS,20,97929
TEL Household,Hanger-HH-TEL,99081,Wall Hanger Blue - 9 hook-TEL,TEL,45,99081
TEL Household,Stool-HH-TEL,803033,Net Tool Medium Black-TEL,TEL,130,803033
TEL Household,Stool-HH-TEL,803034,Net Tool Medium Red-TEL,TEL,160,803034
TEL Household,ACS-HH-TEL,803035,Net Stool Medium Body -Red-TEL,TEL,120,803035
TEL Household,Bowl-HH-TEL,803013,Economy Bowl 8L Red-TEL,TEL,110,803013
TEL Household,Bowl-HH-TEL,803014,Economy Bowl 8L Blue-TEL,TEL,80,803014
TEL Household,Bowl-HH-TEL,803011,Economy Bowl 12L Red-TEL,TEL,130,803011
TEL Household,Bowl-HH-TEL,803012,Economy Bowl 12L Blue-TEL,TEL,115,803012
Prado,Reading Table-Pulsar,76947,Folding Table (Big) Printed Park-S.Wood,DPL,"2,100",845944010322
Prado,Reading Table-Pulsar,76948,Folding Table (Big) Printed Park-R.Wood,DPL,"2,100",76948
Prado,WithArm Chair-Pulsar,76945,Deluxe Commode Chair With Lid - Sandal Wood,DPL,760,845944010308
Prado,Tiffin Box-Prado,91086,Portable Sandwich Box,DPL,60,845944044693
Prado,Lock and Lock Cont-Pulsar,76761,"Aroma Nova Rtg Medi Cont 3Pcs Set(1.8,.9,.45L)-Tr",DPL,165,845944044402
Prado,Lock and Lock Cont-Pulsar,76762,"Aroma Nova Rtg Low Cont 3Pcs Set(1.3,.65,.3L)-Tr",DPL,160,845944044419
Pride,Rock Rider-Pride,95198,Frogy Slider,DPL,"2,800",845944044969
Pacific,Food Cont-Pacfic,86538,Toffee Box - Trans,DPL,145,845944044983
Pride,Baby Potty-Pride,76750,Happy Baby Potty,DPL,"1,100",845944044501
Prominent,Mini Rack-Prominent,95650,Rabbit Mini Rack - Light Blue,DPL,170,845944044761
Premium,Gallon-Premium,87922,Sun Gallon 1.8L,DPL,75,845944045003
Prominent,Food Cont-Prominent,82405,Classic Glasso Sq. Box,DPL,160,845944043979
Prominent,Food Cont-Prominent,82404,Classic Glasso Rtg. Box,DPL,180,845944043962
Goodluck,Stationery File,78670,Good Luck Display Book - 60 Pocket -A4,DPLS,255,845944066657
Winner,Casserole- Gift Set,81050,Galaxy Stelo - 3 Pcs Gift Set,DPLS,"1,040",845944060099
Goodluck,Tufting Product,81176,Kleen Cleaning Pad Green - 4 Pcs,DPLS,80,845944060389
Power,Bowl,92350,"6"" Bowl -Lilac",MLMN,80,845944067494
Power,Color - Melamine,75921,Color Bowl (Aqua-White),MLMN,170,845944067845
Power,Color - Melamine,75914,Marvel Baby Set -Aqua,MLMN,200,845944061379
Best Buy,Kitchenware (Yiwu),903657,FRY PAN-26CM-IMP,BBUY,650,903657
Best Buy,Kitchenware (Yiwu),903659,FRY PAN-22CM-17.00-IMP,BBUY,315,903659
Best Buy,Kitchenware (Yiwu),903660,FRY PAN-24CM-19.00-IMP,BBUY,355,903660
Best Buy,Kitchenware (Yiwu),903661,FRY PAN-26CM-21.00-IMP,BBUY,391,903661
Pioneer,Cloth Sta-Pioneer,95051,Royal Kitchen Shelf (4 Door) - Blue,DPL,"7,700",845944044952
Power,Clearance Sales-2,75804,Flower Pot-Small With Tray (Red),MLMN,135,845944029942
Power,Clearance Sales-2,75805,Flower Pot-Big With Tray (Red),MLMN,165,845944029935
Power,Clearance Sales-2,75806,Flower Pot-Small With Tray (Green),MLMN,135,845944029928
Best Buy,General Household I,903240,2PCS FOOD CONTAINER SET-A-EP20+30/L2(IMP),BBUY,555,903240
Pioneer,Non Moving-Pioneer,82437,Dish Brush MH-1DTA55 (Trading),DPL,70,842251174853
Vision-Style,VS LED TV,807129,55” touch remote,PIP(E),800,807129
Best Buy,Electronics (Local),903508,Light LED Small,BBUY,245,903508
Best Buy,Electronics (Local),903510,Light LED  Big,BBUY,495,903510
Best Buy,General Household L,903513,Flask  0.4  liter,BBUY,350,903513
Topper,TPR Pressure Cooker,805407,TPR Apple Pressure Cooker 3L (IB),RFL,"1,525",8054070000004
Best Buy,Kitchenware (Local),903522,Kitchen Brush SS 2 pcs set,BBUY,65,903522
Power,Melamine -Topper,920860,"11.5"" Coup Spoon-Dahlia-Topper",MLMN,65,845944069269
Vision-Style,PG VS Rice Cooker,801977,PG Vision Rice Cooker 2.2 Ltr VSNRC50-0,PIP(E),"2,800",801977
Vision-Style,PG VS Rice Cooker,801978,PG Vision Rice Cooker 2.8Ltr Open Type,PIP(E),"3,200",801978
Vision-Style,PG VS LED TV,801980,PG LED TV 16” - VSN16LEDT01,PIP(E),"6,700",801980
Regal,LB OTHER,812049,Proop Flower - 7,BBML(F),250,812049
Regal,LB OTHER,812050,Proop Flower - 8,BBML(F),190,812050
Safer,Playtime  Toys,820639,Cricket Set SM Blue,BBMLT,800,820639
Power,Melamine -Advance,920761,"9"" Soup Plate -Camellia",MLMN,100,845944068194
Power,Melamine -Topper,920772,"10"" Meat Plate -Dahlia-Topper",MLMN,130,845944068309
Power,Clearance Sales-2,920782,6”soup Plate-Lily,MLMN,75,845944068408
Sonic,"BLZ LED 3w,5w,7w,9w",807905,BLZ LED BULB 5W E27,RPLE,250,807905
Sonic,"BLZ LED 3w,5w,7w,9w",807906,BLZ LED BULB 7W B22,RPLE,295,845944049599
Sonic,"BLZ LED 3w,5w,7w,9w",807908,BLZ LED BULB 9W B22,RPLE,330,845944049605
Sonic,"BLZ LED 3w,5w,7w,9w",807909,BLZ LED BULB 9W E27,RPLE,330,807909
Sonic,BLZ MULTIPURPOSE LED,807910,BLZ LED BULB 13W B22,RPLE,415,807910
Sonic,BLZ MULTIPURPOSE LED,807911,BLZ LED BULB 13W E27,RPLE,415,807911
Sonic,BLZ N WARRANTY LIGHT,807912,Blaze AC LED Night Lamp 0.5W B22 (Flu Green),RPLE,55,807912
Power,Bowl,920758,"8.5"" Bowl -Camellia",MLMN,130,845944068163
Best Buy,Stationary,903610,Binder Clips 41 MM,BBUY,5,903610
Best Buy,Stationary,903611,Stapler Deli 0222,BBUY,35,903611
Sigma,Support Ind Item Roto,820712,Ice Pac 4000 ml ( 336x268x53 mm),BBMLT,510,820712
Safer,SERA Tune,820713,SERA Water Tank 700L -Black(Tune),BBMLT,"7,320",820713
Sigma,Comfy Mattress,820081,Mattress sample,BBMLT,415,820081
Power,Cup,92356,Small Tea Cup With Saucer -Lilac,MLMN,110,845944068019
Goodluck,KIDS ITEM,97986,Good Luck Pencil Box - Sea World - Blue,DPLS,180,845944073358
Pacific,Flower Vase-Pacific,72771,Lily Flower Vase - Assorted,DPL,120,845944045669
Prado,Kitchen Ware-Prado,72772,Tulip Flower Vase,DPL,100,845944045676
Pride,Service Bowl-Pride,72773,Rosy Flower Vase,DPL,120,845944045683
Regal,WOODEN BED,811120,BDH-301-3-1-55,BBML(F),"35,650",811120
Best Buy,Best Buy Pharma,902783,2 in 1 Éclair Heart shape-163pc,BBUY,422,902783
Pride,Small Con-Pride,95176,Storage Container 2L - Trans,DPL,70,845944046536
Pride,Small Con-Pride,95175,Storage Container 1L - Trans,DPL,60,845944046529
Regal,METAL SWIVAL CHAIR,812031,FOLDING  TOOL-CFF-202 -2-1-66 (1 PART),BBML(F),"1,250",812031
Regal,METAL SWIVAL CHAIR,812032,CFT-201-2-1-44 (1 PART)(FIXED STOOL),BBML(F),"1,380",812032
Regal,METAL SWIVAL CHAIR,812033,FIXED TOOL-CFT-201-2-1-05 (1 PART),BBML(F),"1,380",812033
Regal,METAL SWIVAL CHAIR,812034,CSC-212-2-1-66(SWIVEL),BBML(F),"18,630",812034
Regal,METAL SWIVAL CHAIR,812030,CFW-202-2-1-66(1PART)(TRENDY)(WAITING),BBML(F),"7,250",812030
Prado,Service Bowl-Prado,82469,Two Color Cherry Fruit Bowl Big-Assorted,DPL,110,845944048202
Goodluck,Tufting Product,81175,Kleen Toilet Brush 51Cm - Economy,DPLS,65,845944060105
Goodluck,Tufting Product,81179,Kleen Atlas Floor Brush,DPLS,45,81179
Best Buy,Kitchenware (Local),902478,Souch Pan  With Lid Ss Magnatic-2,BBUY,230,902478
Best Buy,Kitchenware (Local),902479,Souch Pan  With Lid Ss Magnatic-1,BBUY,185,902479
Best Buy,Glassware (Local),902480,Candle Ocean,BBUY,225,902480
Topper,TPR NS Glamour and IB,805016,TPR NS Glamour Casserole with Lid (Red) - 26 cm,RFL,"1,815",8050160000008
Best Buy,Toys and sports (Local,902645,Toy Baby Helicopter,BBUY,130,902645
Best Buy,Toys and sports (Local,902646,Toy Baby Letter,BBUY,75,902646
Best Buy,Toys and sports (Local,902647,Milano Small,BBUY,35,902647
Best Buy,Toys and sports (Local,902648,Milano Big,BBUY,100,902648
Best Buy,Toiletries,902649,Cleaner 3in1 Heya,BBUY,120,902649
Best Buy,Footware (Local),902615,Sandal-Ladies,BBUY,80,902615
Power,Clearance Sales-2,75954,Premio Glass -Aqua,MLMN,80,845944061508
Regal,LB GLASSES,812390,GLASS for Book shelf (508X309X3 - BSC-101),BBML(F),300,812390
Goodluck,Good Luck Pad and Kh,920411,PRPS Drawing Book-16 Page,DPLS,55,920411
Swift,CLK VARIOUS LED,94898,CLICK - Deco LED Blue 0.5 watt B22,RPLE,73,94898
Decent,Decent-Rim,70126,Duranta Alloy  Double Wall Silver Rim 27''/700c,BCYCL,310,70126
Decent,Decent-Rim,70127,Duranta Alloy  Double Wall Black Rim 27''/700c,BCYCL,350,70127
Decent,Decent- Saddle,70149,Saddle  Bumper  Rear Side-2001,BCYCL,7,70149
Decent,Decent- Saddle,70150,Saddle Bumper  Rear Side-2502,BCYCL,5,70150
Decent,Decent- Saddle,70151,Saddle  PU Faom-1202,BCYCL,61,70151
Decent,Decent- Saddle,70152,Saddle  PU Faom-1501,BCYCL,47,70152
Decent,Decent- Saddle,70153,Saddle PU Faom-2001,BCYCL,43,70153
Decent,Decent- Saddle,70154,Saddle PU Faom-2502,BCYCL,92,70154
Decent,Decent- Grip,70155,Fork Protector RBP-6,BCYCL,5,70155
Decent,Decent-Handle Bar,70156,Handle Bar Low Raise 545 mm,BCYCL,135,70156
